   10.000000     -34.165387     100.000000
   11.000000     -67.136207     100.000000
   11.500000      -8.330098      36.810703
   12.000000       5.943128      17.243425
   12.500000      -6.090535      28.084780
   13.000000      -3.326152      20.365695
   13.500000      -5.247905      25.223992
   14.000000     -19.478002      25.799355
   14.500000     -12.093324      25.177217
   15.000000       1.826456      31.342294
   15.500000      30.846541      34.324856
   16.000000     -21.083364     100.000000
   16.500000     -50.583821     100.000000
