    6.000000            NaN            NaN            NaN       Infinity       Infinity            NaN
    6.500000            NaN            NaN            NaN            NaN            NaN            NaN
    7.000000            NaN            NaN            NaN            NaN            NaN            NaN
    7.500000            NaN            NaN            NaN            NaN            NaN            NaN
    8.000000            NaN            NaN            NaN            NaN            NaN            NaN
    8.500000            NaN            NaN            NaN            NaN            NaN            NaN
    9.000000            NaN            NaN            NaN            NaN            NaN            NaN
    9.500000      -Infinity      -Infinity       Infinity            NaN            NaN            NaN
   10.000000      -Infinity      -Infinity      -Infinity            NaN            NaN            NaN
   10.500000      -Infinity      -Infinity       Infinity            NaN            NaN            NaN
   11.000000      -Infinity      -Infinity      -Infinity            NaN            NaN            NaN
   11.500000      -Infinity      -Infinity      -Infinity            NaN            NaN            NaN
   12.000000       Infinity      -Infinity      -Infinity            NaN            NaN            NaN
   12.500000       Infinity      -Infinity      -Infinity            NaN            NaN            NaN
   13.000000      -Infinity      -Infinity      -Infinity            NaN            NaN            NaN
   13.500000      -Infinity      -Infinity      -Infinity            NaN            NaN            NaN
   14.000000      -Infinity      -Infinity      -Infinity            NaN            NaN            NaN
   14.500000      -Infinity      -Infinity      -Infinity            NaN            NaN            NaN
   15.000000       Infinity      -Infinity      -Infinity            NaN            NaN            NaN
   15.500000       Infinity      -Infinity       Infinity            NaN            NaN            NaN
   16.000000      -Infinity      -Infinity      -Infinity            NaN            NaN            NaN
   16.500000      -Infinity      -Infinity       Infinity            NaN            NaN            NaN
   17.000000            NaN            NaN            NaN            NaN            NaN            NaN
   17.500000            NaN            NaN            NaN            NaN            NaN            NaN
   18.000000            NaN            NaN            NaN            NaN            NaN            NaN
   18.500000            NaN            NaN            NaN            NaN            NaN            NaN
   19.000000            NaN            NaN            NaN            NaN            NaN            NaN
   19.500000            NaN            NaN            NaN            NaN            NaN            NaN
   20.000000            NaN            NaN            NaN            NaN            NaN            NaN
   20.500000            NaN            NaN            NaN            NaN            NaN            NaN
