46.4	12:01:54.70	 34:00:55.5	-0.027	0.127	14.41
104.4	12:03:19.80	 24:39:54.0	-0.109	0.012	11.62
32.9	12:14:31.79	 78:22:56.1	0.135	-0.256	14.88
33.0	12:42:58.41	 65:42:20.2	-0.106	-0.121	14.95
136.5	12:43:05.99	 20:57:10.6	0.076	-0.044	11.34
42.9	13:03:14.16	 75:10:04.1	0.061	0.100	13.25
70.8	13:09:38.03	 69:33:15.6	-0.079	0.029	13.36
59.4	13:10:50.73	 72:36:33.8	-0.061	0.064	13.12
38.9	13:29:06.19	 24:50:25.7	-0.404	-0.024	16.72
40.7	13:34:38.82	 09:43:18.5	-0.200	0.021	15.03
13.2	13:41:21.80	 05:00:45.8	-0.428	0.020	16.05
74.7	13:53:42.35	 16:56:51.7	0.072	-0.074	12.24
51.0	14:03:46.08	 06:44:43.0	0.057	-0.114	13.45
33.8	14:06:25.59	 16:08:27.7	-0.112	-0.045	14.85
17.5	14:45:39.46	 25:27:15.9	-0.033	-0.152	14.84
43.8	15:01:05.31	 61:38:54.6	-0.050	-0.087	14.38
127.7	15:16:44.73	 29:10:21.4	-0.036	0.078	11.38
48.5	16:14:14.23	 17:29:00.3	-0.194	-0.173	15.24
26.8	16:14:24.60	 09:06:04.0	0.021	-0.379	15.44
45.5	16:22:16.19	 05:32:52.2	-0.130	-0.038	13.46
56.9	16:26:32.04	 13:55:54.5	0.132	0.103	13.60
31.7	16:28:38.60	 70:53:21.6	-0.002	-0.462	15.57
47.8	16:51:26.02	 66:35:06.3	-0.059	0.092	12.81
49.2	17:32:48.41	 02:13:08.8	0.072	-0.053	13.36
61.7	17:34:26.42	 42:36:40.5	-0.079	-0.098	12.64
82.6	17:36:52.13	 36:35:44.6	-0.096	-0.038	12.94
45.3	17:37:41.38	 01:38:49.8	-0.037	-0.085	13.45
32.1	17:43:00.76	 17:01:45.9	-0.248	-0.266	15.54
44.1	17:57:25.79	 10:21:24.9	-0.020	-0.088	13.05
64.3	17:57:59.45	 54:41:21.8	-0.061	-0.041	13.13
44.3	18:01:51.35	 08:46:06.9	0.115	0.151	14.23
41.0	18:15:27.40	 31:58:49.2	0.124	0.170	15.17
39.7	18:43:35.47	 27:40:26.8	0.043	-0.085	12.00
30.3	18:51:05.66	 77:38:37.2	0.261	-0.069	14.86
99.1	19:00:34.98	 00:20:17.4	-0.143	-0.229	12.54
44.1	19:03:19.56	 60:35:52.7	0.174	0.088	11.84
35.4	19:16:47.18	 80:44:30.1	0.073	0.167	14.83
38.8	19:40:08.67	 83:48:57.7	-0.838	-0.417	15.08
27.5	19:45:30.37	 46:50:15.5	-0.455	-0.409	15.13
56.8	20:27:58.78	 05:23:53.8	0.072	-0.096	13.31
42.2	20:30:04.10	 07:29:43.7	0.171	-0.182	12.79
49.1	21:47:25.20	 11:27:55.3	0.103	-0.252	14.54
30.4	22:13:21.32	 03:49:11.1	0.322	-0.334	14.95
59.5	22:19:53.89	 48:05:34.3	0.188	0.196	14.23
67.3	22:23:01.60	 22:01:31.8	0.054	-0.062	11.55
74.7	22:23:01.69	 22:01:25.3	0.054	-0.062	11.71
69.9	22:34:02.03	 55:43:26.1	0.202	0.080	13.05
53.2	22:41:04.63	 36:46:38.8	0.162	0.047	13.63
35.2	23:16:12.53	 17:20:45.6	0.286	-0.014	14.99
97.7	23:18:38.33	 54:58:16.8	0.019	-0.097	11.78
52.9	23:30:05.52	 01:20:46.1	0.209	-0.132	13.82
36.2	23:48:57.89	 43:00:39.7	0.162	-0.247	15.12
