    6.500000      33.808598      24.207032
    7.000000     -39.356779     100.000000
    7.500000       3.569524      12.716063
    8.000000      -0.837006      21.430190
    8.500000      -7.356823      16.802926
    9.000000     -14.528246      20.488413
    9.500000      -8.553967      17.791693
   10.000000      -5.567354      13.710134
   10.500000      -6.429653      15.588487
   11.000000      -4.842869      18.469457
   11.500000      -3.494477      19.532672
   12.000000      -2.650102      19.809826
   12.500000      -4.647325      21.583097
   13.000000      -3.299196      26.512743
   13.500000      -6.657488      20.774523
   14.000000      -6.165186      21.068595
   14.500000      -7.587636      35.643428
   15.000000      35.555111      80.517635
   16.000000       0.699848      29.868702
   16.500000     -30.238259     100.000000
   17.000000      17.302039     100.000000
   20.500000      -7.189667     100.000000
